date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 22:40:45,e_chacar,RpgSpain,0,0,0,"Final Fantasy VII The Witcher 3 Persona 5 Parasite Eve Alundra",,,,1237871109707411456,https://twitter.com/e_chacar/status/1237871109707411456
2020-03-11 22:40:24,cragfetch,nineinchnikki,1,0,0,"Fun fact, Parasite is also my nickname for you",,,,1237871020154839040,https://twitter.com/cragfetch/status/1237871020154839040
2020-03-11 22:40:12,bmjavier,THR,0,0,0,"Household audience don't want Parasite to win",,,,1237870970590736385,https://twitter.com/bmjavier/status/1237870970590736385
2020-03-11 22:40:08,KianJaden,,1,0,1,"the movie parasite a good ass movie idk how it only won 4 oscars .",,,,1237870953842917378,https://twitter.com/KianJaden/status/1237870953842917378
2020-03-11 22:39:38,_gallop,mog7546,0,0,0,"This is the parasite that had to be pressured and shamed to open his church for flood victims in Houston a few years back",,,,1237870827699351552,https://twitter.com/_gallop/status/1237870827699351552
2020-03-11 22:39:24,yorgoslanthimo,,0,0,2,"does that mean florence hasn’t watched parasite pic.twitter.com/3dlQZ8zHza",,,,1237870769851510784,https://twitter.com/yorgoslanthimo/status/1237870769851510784
2020-03-11 22:39:20,16bitdadblog,CoupleCakesYT,0,0,0,"Legend of Dragoon! Or maybe Icewind Dale... Or Parasite Eve... Or... or... or... or... I have over 100 games I can list haha",,,,1237870751392374786,https://twitter.com/16bitdadblog/status/1237870751392374786
2020-03-11 22:39:10,chxnshine,,0,0,0,"Just watched Parasite together with some friends and I don't even know what to say skfhvstbs",,,,1237870708975210496,https://twitter.com/chxnshine/status/1237870708975210496
2020-03-11 22:38:52,x_csxz,,0,0,0,"gonna tell my kids this is parasite's mayor doma moon-gwang #NewProfilePicpic.twitter.com/sxOhlJP8Cq",,,#NewProfilePicpic,1237870633976860672,https://twitter.com/x_csxz/status/1237870633976860672
2020-03-11 22:38:16,hdotard,realDonaldTrump,0,0,0,"The most divisive, ignorant, xenophobic, disgusting parasite wants to rope-a-dope his cult followers ONE MORE TIME. He's been told lots of his base will undoubtedly be hurt the most from COVID-19. He's scared, for GOOD REASON! pic.twitter.com/ZU7eI2Yyvx",,,,1237870484739383296,https://twitter.com/hdotard/status/1237870484739383296
2020-03-11 22:38:01,Mr_Benzedrine,,0,0,1,"my kink is seeing the masterpiece that is Parasite with people who haven’t seen it",,,,1237870419505377280,https://twitter.com/Mr_Benzedrine/status/1237870419505377280
2020-03-11 22:37:07,JoshuaBHoe,,0,0,0,"@BootsRiley hey, I was wondering if you think communities coming together is an alternative to the more cynical vision presented at the end of Parasite, I think 'Sorry to Bother You' could have a really interesting conversation with @ParasiteMovie",,@BootsRiley @ParasiteMovie,,1237870193449172995,https://twitter.com/JoshuaBHoe/status/1237870193449172995
2020-03-11 22:36:51,napcakes2,,0,0,1,"Someone at the gym said they saw parasite and rly liked it but said it was weird watching something “Chinese and subtitled”. Boy....",,,,1237870126432546821,https://twitter.com/napcakes2/status/1237870126432546821
2020-03-11 22:36:05,SamAsIAm,CharlesDeRose3,0,0,1,"The Parasite in a Mr Rogers personna and his friends will sweep up whatever they missed in '08 to have even more people to skim from and rent to. Light a candle for human decency. It's lost whatever hope anyone had of prevailing. If the younger vote doesn't act now? Darwin's Law.",,,,1237869933381353478,https://twitter.com/SamAsIAm/status/1237869933381353478
2020-03-11 22:35:37,SalomeAdam2,,0,0,0,"So I’ve figured I’m hosting an alien parasite in my neck and I had to illustrate it (yes thirsty anime boy was due, no I’m not sorry.) Also it’s called Elvis Melvis and I don’t wanna talk about it. pic.twitter.com/ZtrjJs9eAh",,,,1237869817601773569,https://twitter.com/SalomeAdam2/status/1237869817601773569
2020-03-11 22:34:13,Loutusmaximus,,0,0,0,"Turns out that @KermodeMovie knows a thing or two. Just went to see Parasite tonight with the good lady nurse indoors. She says its one of the best films she's ever seen and I agree. Bravo, Director Bong. @wittertainment",,@KermodeMovie @wittertainment,,1237869462952398856,https://twitter.com/Loutusmaximus/status/1237869462952398856
2020-03-11 22:34:04,breatheofswift,,0,0,3,"parasite best picture",,,,1237869427963527170,https://twitter.com/breatheofswift/status/1237869427963527170
2020-03-11 22:33:06,Lefty_Uno,MagnaFarta,0,0,0,"I for one am excited to hear the conversations that would come from Bong’s movies. Out of the ones I’ve seen, I liked all of them (Snowpiercer, Parasite, The Host)",,,,1237869182164905984,https://twitter.com/Lefty_Uno/status/1237869182164905984
2020-03-11 22:32:45,egirlbathwater,Dizlain,1,0,0,"at least the family in parasite had each other",,,,1237869094700908550,https://twitter.com/egirlbathwater/status/1237869094700908550
2020-03-11 22:32:36,bostondialect,cuttothef33ling,1,0,1,"“I would be happy living like any of the characters in Parasite!”",,,,1237869058676015104,https://twitter.com/bostondialect/status/1237869058676015104
2020-03-11 22:32:26,drdoogh,,0,0,0,"So there’s this parasite we’re learning about called lamblia, it’s this funny little thing that looks like it has glasses but this bitch can make u lose a lot of weight. Risk of dehydration but anything to look like Bella hadid",,,,1237869015113986052,https://twitter.com/drdoogh/status/1237869015113986052
2020-03-11 22:32:00,cbxjpg,,0,0,0,"being happy over this makes me feel like the rich mom from parasite :-|",,,,1237868904824832000,https://twitter.com/cbxjpg/status/1237868904824832000
2020-03-11 22:31:14,eriannedg,,0,0,0,"Just finished watching A Taxi Driver. better than Parasite, imo. Same lead actor.",,,,1237868711899320324,https://twitter.com/eriannedg/status/1237868711899320324
